TEAM,Duke,N Dakota St,VA Commonwealth,UCF,Mississippi St,Liberty,Virginia Tech,St Louis,Maryland,Belmont,LSU,Yale,Louisville,Minnesota,Michigan St,Bradley,Gonzaga,F Dickinson,Syracuse,Baylor,Marquette,Murray St,Florida St,Vermont,Buffalo,Arizona St,Texas Tech,N Kentucky,Nevada,Florida,Michigan,Montana,Virginia,Gardner Webb,Mississippi,Oklahoma,Wisconsin,Oregon,Kansas St,UC Irvine,Villanova,St Mary's CA,Purdue,Old Dominion,Cincinnati,Iowa,Tennessee,Colgate,North Carolina,Iona,Utah St,Washington,Auburn,New Mexico St,Kansas,Northeastern,Iowa St,Ohio St,Houston,Georgia St,Wofford,Seton Hall,Kentucky,Abilene Chr
New Mexico St,0.0609,0.8841,0.3743,0.454,0.2691,0.5911,0.2392,0.5518,0.271,0.5492,0.2583,0.7208,0.2026,0.4181,0.0784,0.7998,0.0591,0.8875,0.3452,0.4069,0.3229,0.5932,0.2348,0.6336,0.3348,0.4797,0.1819,0.6723,0.3072,0.3263,0.0982,0.7835,0.0668,0.8344,0.3966,0.4116,0.1986,0.3671,0.3249,0.6137,0.3737,0.3619,0.1776,0.6035,0.3735,0.3787,0.1393,0.7097,0.0648,0.8677,0.4269,0.3886,0.2328,0.5,0.314,0.6178,0.2659,0.3877,0.2077,0.7139,0.4472,0.4952,0.126,0.8622
Kansas,0.16,0.9611,0.5638,0.6428,0.4499,0.7659,0.4151,0.7324,0.452,0.7301,0.4374,0.8655,0.3703,0.6079,0.1914,0.9165,0.1566,0.9627,0.5335,0.5968,0.5096,0.7677,0.4097,0.8005,0.5224,0.6672,0.344,0.8304,0.4926,0.5133,0.2243,0.9066,0.171,0.9361,0.5865,0.6015,0.3654,0.5563,0.5118,0.7846,0.5632,0.551,0.3383,0.7762,0.5629,0.5683,0.2861,0.8577,0.1673,0.9533,0.6166,0.5784,0.4073,0.686,0.5,0.7879,0.4463,0.5775,0.3767,0.8607,0.6363,0.6816,0.2669,0.9506
Northeastern,0.028,0.8058,0.2648,0.3381,0.1746,0.4726,0.1506,0.4331,0.1761,0.4305,0.1658,0.6098,0.1222,0.3047,0.038,0.7,0.027,0.8105,0.2391,0.2943,0.2197,0.4747,0.147,0.5163,0.23,0.3626,0.1069,0.5572,0.2063,0.2226,0.0499,0.6809,0.0313,0.7419,0.285,0.2987,0.1193,0.2584,0.2214,0.4957,0.2643,0.2538,0.1037,0.4852,0.2641,0.2688,0.0768,0.5976,0.0301,0.7842,0.3129,0.2777,0.1455,0.3822,0.2121,0.5,0.172,0.2769,0.1261,0.6022,0.3317,0.3775,0.0678,0.777
Iowa St,0.1987,0.9732,0.6166,0.6931,0.5036,0.8081,0.4685,0.7774,0.5058,0.7753,0.4911,0.8961,0.4228,0.6595,0.2336,0.9384,0.1949,0.9744,0.5869,0.6487,0.5633,0.8097,0.4631,0.8393,0.576,0.7163,0.3957,0.8658,0.5464,0.567,0.2694,0.9304,0.211,0.954,0.6387,0.6533,0.4178,0.6093,0.5655,0.825,0.616,0.6041,0.3898,0.8174,0.6158,0.6211,0.3353,0.8894,0.2068,0.9673,0.6679,0.6308,0.4606,0.7341,0.5537,0.828,0.5,0.63,0.4294,0.892,0.6868,0.7299,0.315,0.9652
Ohio St,0.1123,0.9367,0.4862,0.567,0.3735,0.6986,0.34,0.662,0.3756,0.6595,0.3615,0.813,0.2976,0.531,0.1381,0.8762,0.1096,0.939,0.4558,0.5196,0.432,0.7006,0.3349,0.7373,0.4447,0.5925,0.2731,0.7716,0.4152,0.4357,0.166,0.8637,0.1212,0.9021,0.5091,0.5244,0.293,0.4787,0.4342,0.7193,0.4855,0.4733,0.2678,0.71,0.4853,0.4907,0.2203,0.8036,0.1182,0.9257,0.54,0.5009,0.3326,0.6123,0.4225,0.7231,0.37,0.5,0.3036,0.8072,0.5603,0.6076,0.2032,0.9218
Houston,0.2559,0.9844,0.6837,0.7551,0.5742,0.8571,0.5393,0.8307,0.5763,0.8288,0.5618,0.9288,0.4934,0.7241,0.2946,0.9605,0.2516,0.9851,0.6553,0.714,0.6326,0.8585,0.5339,0.8833,0.6448,0.7763,0.4657,0.9049,0.6161,0.6361,0.3334,0.9547,0.2696,0.9715,0.7046,0.7183,0.4882,0.6768,0.6347,0.8714,0.6831,0.6718,0.4597,0.865,0.6829,0.6879,0.4034,0.9237,0.265,0.9805,0.7319,0.6972,0.5314,0.7923,0.6233,0.8739,0.5706,0.6964,0.5,0.9257,0.7494,0.7886,0.3821,0.9791
Georgia St,0.0126,0.7215,0.1826,0.2462,0.11,0.3712,0.092,0.3335,0.1111,0.331,0.1033,0.5078,0.0716,0.2167,0.018,0.6027,0.0121,0.7269,0.1612,0.2077,0.1454,0.3733,0.0894,0.4138,0.1537,0.2682,0.061,0.4544,0.1347,0.1478,0.0248,0.5822,0.0144,0.6486,0.1997,0.2115,0.0696,0.1772,0.1468,0.3936,0.1821,0.1733,0.0589,0.3834,0.182,0.1859,0.0412,0.4953,0.0138,0.6964,0.2238,0.1934,0.0883,0.2861,0.1393,0.3978,0.108,0.1928,0.0743,0.5,0.2405,0.2818,0.0356,0.6881
Wofford,0.0822,0.9113,0.426,0.5068,0.3165,0.6424,0.2847,0.6041,0.3185,0.6015,0.305,0.7659,0.245,0.4707,0.1036,0.838,0.08,0.9142,0.3961,0.4592,0.373,0.6444,0.2799,0.6834,0.3853,0.5326,0.2224,0.7203,0.3567,0.3765,0.1272,0.8234,0.0896,0.8687,0.4488,0.464,0.2407,0.4186,0.3751,0.6643,0.4254,0.4133,0.2176,0.6544,0.4252,0.4306,0.1747,0.7555,0.0871,0.8975,0.4796,0.4406,0.2777,0.5528,0.3637,0.6683,0.3132,0.4397,0.2506,0.7595,0.5,0.5481,0.1595,0.8927
Seton Hall,0.0626,0.8867,0.3789,0.4587,0.2733,0.5958,0.2432,0.5566,0.2751,0.554,0.2624,0.725,0.2062,0.4228,0.0805,0.8034,0.0608,0.8901,0.3498,0.4116,0.3273,0.5979,0.2387,0.6382,0.3393,0.4845,0.1854,0.6768,0.3116,0.3308,0.1006,0.7873,0.0687,0.8377,0.4013,0.4163,0.2023,0.3717,0.3294,0.6183,0.3783,0.3665,0.181,0.6081,0.3781,0.3834,0.1423,0.714,0.0666,0.8706,0.4317,0.3932,0.2367,0.5048,0.3184,0.6225,0.2701,0.3924,0.2114,0.7182,0.4519,0.5,0.1289,0.8651
Kentucky,0.3643,0.9945,0.786,0.845,0.6883,0.9209,0.6556,0.9023,0.6903,0.901,0.6767,0.9663,0.6115,0.8199,0.4072,0.9834,0.3596,0.9948,0.7615,0.8116,0.7414,0.9218,0.6504,0.9383,0.7522,0.8617,0.5844,0.952,0.7267,0.7445,0.4491,0.9804,0.3797,0.9887,0.8037,0.8151,0.6065,0.7801,0.7433,0.9305,0.7856,0.7758,0.5785,0.9262,0.7854,0.7896,0.5219,0.9633,0.3745,0.9928,0.8263,0.7975,0.6481,0.874,0.7331,0.9322,0.685,0.7968,0.6179,0.9644,0.8405,0.8711,0.5,0.9922
Abilene Chr,0.002,0.5371,0.0724,0.111,0.0356,0.2015,0.0279,0.1723,0.0361,0.1704,0.0327,0.319,0.0198,0.0924,0.0032,0.4105,0.0019,0.5432,0.0607,0.087,0.0525,0.2031,0.0268,0.2362,0.0568,0.1256,0.016,0.271,0.0472,0.0537,0.0048,0.3901,0.0024,0.4577,0.0822,0.0892,0.0191,0.0693,0.0532,0.2196,0.0721,0.0672,0.0152,0.2113,0.072,0.0743,0.0094,0.3075,0.0023,0.5091,0.0968,0.0786,0.0263,0.1378,0.0494,0.223,0.0348,0.0782,0.0209,0.3119,0.1073,0.1349,0.0078,0.5
